118 [06/sep/2001:09:42:46 -0300] "bet	/home/joshua:
61 [28/aug/2001:12:03:06 -0300] "bet	words.out
61 [28/aug/2001:12:03:06 -0300] "bet	wordsUsed
61 [28/aug/2001:12:03:14 -0300] "bet	wordsUsed1
61 [29/aug/2001:09:24:06 -0300] "bet	wordsUsed2
61 [29/aug/2001:10:41:32 -0300] "bet	wordsUsed3
61 [29/aug/2001:12:40:08 -0300] "bet	wordsUsed4
61 [29/aug/2001:16:11:54 -0300] "bet	wordsUsed5
61 [29/aug/2001:16:11:55 -0300] "bet	wordsUsed6
61 [30/aug/2001:09:39:56 -0300] "bet	wordsUsed7
61 [30/aug/2001:09:39:57 -0300] "bet	wordsUsed8
61 [30/aug/2001:18:01:36 -0300] "bet	yr1752
61 [30/aug/2001:18:01:38 -0300] "bet	
61 [30/aug/2001:18:11:27 -0300] "bet	/home/joshua/a:
61 [30/aug/2001:18:11:28 -0300] "bet	b
61 [30/aug/2001:18:11:32 -0300] "bet	
61 [11/sep/2001:01:26:43 -0300] "bet	/home/joshua/a/b:
61 [11/sep/2001:01:26:54 -0300] "bet	c
38 [11/sep/2001:10:41:13 -0300] "bet	
38 [11/sep/2001:10:41:15 -0300] "bet	/home/joshua/a/b/c:
38 [11/sep/2001:10:41:15 -0300] "bet	
38 [11/sep/2001:10:42:42 -0300] "bet	/home/joshua/Archives:
38 [11/sep/2001:10:42:42 -0300] "bet	betty
38 [11/sep/2001:10:42:43 -0300] "bet	daniel
38 [11/sep/2001:10:42:45 -0300] "bet	journal
38 [11/sep/2001:10:43:00 -0300] "bet	lab1.txt
38 [11/sep/2001:10:43:02 -0300] "bet	lab4.txt
38 [11/sep/2001:10:43:17 -0300] "bet	lab5.txt
38 [11/sep/2001:10:43:20 -0300] "bet	lab6.txt
38 [11/sep/2001:10:43:29 -0300] "bet	lost-days
38 [11/sep/2001:10:43:32 -0300] "bet	megan
38 [11/sep/2001:10:44:05 -0300] "bet	practice
67 [09/sep/2001:00:45:43 -0300] "bet	testing2
67 [09/sep/2001:00:45:44 -0300] "bet	users_on
67 [09/sep/2001:00:45:57 -0300] "bet	
67 [09/sep/2001:00:46:02 -0300] "bet	/home/joshua/Desktop:
67 [09/sep/2001:00:46:10 -0300] "bet	mit-scheme-11.2
67 [09/sep/2001:00:46:26 -0300] "bet	mit-scheme-11.2-x86-64.tar.gz
67 [09/sep/2001:00:46:28 -0300] "bet	Project 1.odt
67 [09/sep/2001:00:46:28 -0300] "bet	users_on
67 [09/sep/2001:00:46:30 -0300] "bet	
67 [09/sep/2001:00:46:34 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2:
67 [09/sep/2001:00:51:17 -0300] "bet	dist
67 [09/sep/2001:00:51:20 -0300] "bet	doc
67 [09/sep/2001:00:51:22 -0300] "bet	etc
67 [09/sep/2001:00:51:26 -0300] "bet	src
67 [09/sep/2001:00:52:24 -0300] "bet	Tags.sh
67 [09/sep/2001:00:52:39 -0300] "bet	tests
67 [09/sep/2001:00:52:44 -0300] "bet	v8
67 [09/sep/2001:00:52:46 -0300] "bet	
67 [09/sep/2001:00:52:49 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/dist:
67 [09/sep/2001:00:52:52 -0300] "bet	copyright.c
67 [09/sep/2001:00:54:51 -0300] "bet	copyright.scm
67 [09/sep/2001:01:21:15 -0300] "bet	index.html
67 [09/sep/2001:01:21:15 -0300] "bet	make-doc-files
67 [09/sep/2001:01:21:19 -0300] "bet	Makefile
67 [09/sep/2001:01:21:19 -0300] "bet	make-liarc-files
67 [09/sep/2001:01:22:32 -0300] "bet	make-macosx-app
67 [09/sep/2001:01:22:34 -0300] "bet	make-native-files
67 [09/sep/2001:01:24:29 -0300] "bet	make-scmutils
67 [09/sep/2001:01:25:10 -0300] "bet	make-src-files
133 [25/aug/2001:18:16:51 -0300] "bet	make-upload-files
66 [04/sep/2001:13:45:21 -0300] "bet	parameter-plan.txt
66 [04/sep/2001:13:45:21 -0300] "bet	scheme-inst.nsi
66 [04/sep/2001:13:47:20 -0300] "bet	shared.sh
66 [04/sep/2001:13:55:05 -0300] "bet	update-copyright.scm
66 [04/sep/2001:13:55:05 -0300] "bet	
66 [04/sep/2001:13:55:50 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/doc:
66 [04/sep/2001:14:35:19 -0300] "bet	autom4te.cache
66 [04/sep/2001:14:35:19 -0300] "bet	configure
66 [05/sep/2001:13:07:40 -0300] "bet	configure.ac
66 [05/sep/2001:13:07:40 -0300] "bet	ffi
102 [07/sep/2001:11:43:01 -0300] "bet	index.html
102 [07/sep/2001:11:44:18 -0300] "bet	info-dir
102 [07/sep/2001:11:45:32 -0300] "bet	install-sh
102 [07/sep/2001:11:46:22 -0300] "bet	make-common.in
102 [07/sep/2001:11:46:42 -0300] "bet	Makefile.in
102 [07/sep/2001:11:47:26 -0300] "bet	mit-scheme.1
102 [07/sep/2001:11:16:02 -0300] "bet	mkinstalldirs
102 [07/sep/2001:11:16:29 -0300] "bet	ref-manual
102 [07/sep/2001:11:16:44 -0300] "bet	sos
102 [07/sep/2001:11:16:50 -0300] "bet	user-manual
102 [07/sep/2001:11:17:16 -0300] "bet	
102 [07/sep/2001:11:17:16 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/doc/autom4te.cache:
102 [07/sep/2001:11:17:22 -0300] "bet	output.0
102 [07/sep/2001:11:17:29 -0300] "bet	requests
102 [07/sep/2001:11:20:09 -0300] "bet	traces.0
102 [07/sep/2001:11:20:41 -0300] "bet	
102 [07/sep/2001:11:43:00 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/doc/ffi:
193 [07/sep/2001:14:53:50 -0300] "bet	ffi.texinfo
193 [07/sep/2001:14:54:05 -0300] "bet	Makefile.in
193 [07/sep/2001:14:55:13 -0300] "bet	prhello.cdecl
193 [07/sep/2001:14:55:13 -0300] "bet	prhello-Makefile
193 [07/sep/2001:14:55:17 -0300] "bet	prhello.scm
193 [07/sep/2001:14:57:52 -0300] "bet	
193 [07/sep/2001:15:03:18 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/doc/ref-manual:
193 [07/sep/2001:15:12:50 -0300] "bet	acknowledgements.texi
68 [09/aug/2001:16:48:42 -0300] "bet	associations.texi
68 [09/aug/2001:16:48:42 -0300] "bet	binding-index.texi
68 [09/aug/2001:16:48:48 -0300] "bet	bit-strings.texi
68 [09/aug/2001:16:48:48 -0300] "bet	characters.texi
68 [09/aug/2001:16:49:12 -0300] "bet	concept-index.texi
68 [09/aug/2001:16:49:12 -0300] "bet	environments.texi
68 [09/aug/2001:16:50:14 -0300] "bet	equivalence.texi
68 [09/aug/2001:16:50:17 -0300] "bet	error.texi
68 [09/aug/2001:16:50:31 -0300] "bet	fig
68 [09/aug/2001:16:51:31 -0300] "bet	gfdl.texinfo
68 [09/aug/2001:16:51:36 -0300] "bet	graphics.texi
68 [09/aug/2001:16:52:27 -0300] "bet	io.texi
68 [09/aug/2001:16:52:51 -0300] "bet	lists.texi
68 [09/aug/2001:16:52:51 -0300] "bet	Makefile.in
68 [09/aug/2001:16:53:49 -0300] "bet	misc-datatypes.texi
68 [09/aug/2001:16:54:12 -0300] "bet	numbers.texi
68 [09/aug/2001:16:54:49 -0300] "bet	os-interface.texi
68 [09/aug/2001:16:55:24 -0300] "bet	overview.texi
68 [09/aug/2001:17:02:57 -0300] "bet	procedures.texi
68 [09/aug/2001:17:03:43 -0300] "bet	scheme.texinfo
68 [09/aug/2001:17:03:46 -0300] "bet	special-forms.texi
12 [11/sep/2001:11:16:34 -0300] "bet	standards.texi
12 [11/sep/2001:11:16:34 -0300] "bet	strings.texi
104 [05/sep/2001:16:25:29 -0300] "bet	tools.scm
104 [05/sep/2001:16:25:35 -0300] "bet	vectors.texi
107 [03/sep/2001:22:11:17 -0300] "bet	win32-packaging.texi
107 [03/sep/2001:22:16:44 -0300] "bet	
107 [03/sep/2001:22:16:44 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/doc/ref-manual/fig:
107 [03/sep/2001:22:16:46 -0300] "bet	cn-expm1.eps.in
107 [03/sep/2001:22:16:50 -0300] "bet	cn-log1mexp.eps.in
107 [03/sep/2001:23:09:30 -0300] "bet	cn-log1p.eps.in
107 [05/sep/2001:16:25:42 -0300] "bet	cn-log1pexp.eps.in
107 [05/sep/2001:16:30:29 -0300] "bet	cn-logistic.eps.in
107 [05/sep/2001:16:30:32 -0300] "bet	cn-logistichalf.eps.in
107 [05/sep/2001:16:30:32 -0300] "bet	cn-logit.eps.in
107 [05/sep/2001:16:30:32 -0300] "bet	cn-logitexp.eps.in
107 [05/sep/2001:16:30:33 -0300] "bet	cn-logithalf.eps.in
107 [05/sep/2001:16:30:33 -0300] "bet	cn-loglogistic.eps.in
107 [05/sep/2001:16:30:33 -0300] "bet	common
107 [05/sep/2001:16:30:33 -0300] "bet	expm1.eps.in
107 [05/sep/2001:16:30:35 -0300] "bet	log1mexp.eps.in
107 [05/sep/2001:16:30:35 -0300] "bet	log1p.eps.in
112 [10/sep/2001:17:42:44 -0300] "bet	log1pexp.eps.in
112 [10/sep/2001:18:04:43 -0300] "bet	logistic.eps.in
112 [10/sep/2001:18:41:37 -0300] "bet	logistichalf.eps.in
113 [11/sep/2001:11:43:10 -0300] "bet	logit.eps.in
113 [11/sep/2001:11:43:10 -0300] "bet	logitexp.eps.in
113 [11/sep/2001:11:44:18 -0300] "bet	logithalf.eps.in
113 [11/sep/2001:11:44:18 -0300] "bet	loglogistic.eps.in
113 [11/sep/2001:11:44:21 -0300] "bet	
113 [11/sep/2001:11:44:36 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/doc/ref-manual/fig/common:
113 [11/sep/2001:11:44:53 -0300] "bet	ad.ps
113 [11/sep/2001:11:44:54 -0300] "bet	debug.ps
113 [11/sep/2001:11:46:00 -0300] "bet	linsplin.ps
113 [11/sep/2001:11:46:00 -0300] "bet	math.ps
113 [11/sep/2001:11:46:02 -0300] "bet	newton.ps
113 [11/sep/2001:11:46:47 -0300] "bet	plot.ps
113 [11/sep/2001:11:46:49 -0300] "bet	splinterp.ps
113 [11/sep/2001:11:47:27 -0300] "bet	
113 [11/sep/2001:11:47:28 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/doc/sos:
113 [11/sep/2001:11:48:53 -0300] "bet	Makefile.in
113 [11/sep/2001:11:50:20 -0300] "bet	sos.texinfo
113 [11/sep/2001:11:50:25 -0300] "bet	
113 [11/sep/2001:11:50:51 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/doc/user-manual:
113 [11/sep/2001:11:50:20 -0300] "bet	Makefile.in
113 [11/sep/2001:11:50:25 -0300] "bet	user.texinfo
123 [07/sep/2001:10:25:30 -0300] "bet	
123 [07/sep/2001:11:08:35 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/etc:
125 [09/sep/2001:22:53:32 -0300] "bet	bootstrap.scm
125 [09/sep/2001:22:53:32 -0300] "bet	build-tree.sh
126 [09/sep/2001:22:43:24 -0300] "bet	check-crefs
126 [09/sep/2001:22:43:24 -0300] "bet	dirdif.scm
127 [09/aug/2001:08:35:29 -0300] "bet	dumpdat.scm
105 [06/sep/2001:16:57:09 -0300] "bet	make_bin
105 [06/sep/2001:16:57:09 -0300] "bet	make_dist
105 [06/sep/2001:16:57:15 -0300] "bet	make-git-log
105 [06/sep/2001:16:57:15 -0300] "bet	make_psb
105 [06/sep/2001:16:59:10 -0300] "bet	make_runtime
105 [06/sep/2001:16:59:12 -0300] "bet	mkauto.bat
105 [06/sep/2001:16:59:39 -0300] "bet	mkband.scm
105 [06/sep/2001:16:59:44 -0300] "bet	mkopt.bat
105 [06/sep/2001:16:59:44 -0300] "bet	nrwcopyr.el
106 [06/sep/2001:17:29:02 -0300] "bet	packc386.scm
106 [06/sep/2001:17:29:02 -0300] "bet	pack-compiler-alpha.scm
109 [10/sep/2001:18:38:07 -0300] "bet	pack-compiler-mc68k.scm
109 [10/sep/2001:18:38:07 -0300] "bet	pack-compiler-mips.scm
109 [10/sep/2001:18:38:10 -0300] "bet	pack-compiler.scm
109 [10/sep/2001:18:38:10 -0300] "bet	pack-compiler-spectrum.scm
109 [10/sep/2001:18:38:12 -0300] "bet	pack-edwin.scm
109 [10/sep/2001:18:38:14 -0300] "bet	pack-edwin-unix.scm
109 [10/sep/2001:18:38:17 -0300] "bet	packew32.scm
109 [10/sep/2001:18:38:19 -0300] "bet	pack.scm
110 [02/sep/2001:10:47:35 -0300] "bet	r2bs.scm
110 [02/sep/2001:10:47:36 -0300] "bet	rebuild
110 [02/sep/2001:10:48:18 -0300] "bet	rebuild-7.4
110 [02/sep/2001:10:50:06 -0300] "bet	rebuild-7.4-linux
110 [02/sep/2001:10:50:29 -0300] "bet	rebuild-8.0
110 [02/sep/2001:10:50:33 -0300] "bet	redump
110 [02/sep/2001:10:51:33 -0300] "bet	resyntax
110 [02/sep/2001:10:51:34 -0300] "bet	resyntax.scm
110 [02/sep/2001:10:51:37 -0300] "bet	run-three-stages
110 [02/sep/2001:10:51:41 -0300] "bet	scheme.el
110 [02/sep/2001:10:51:46 -0300] "bet	update-rcs-log
110 [02/sep/2001:10:52:00 -0300] "bet	update-rcs-log.in
110 [02/sep/2001:10:52:00 -0300] "bet	xscheme.el
110 [02/sep/2001:10:52:05 -0300] "bet	
110 [02/sep/2001:10:52:22 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src:
110 [02/sep/2001:10:52:24 -0300] "bet	6001
110 [02/sep/2001:10:52:30 -0300] "bet	autom4te.cache
110 [02/sep/2001:10:53:20 -0300] "bet	berkeley-db
110 [02/sep/2001:10:53:21 -0300] "bet	blowfish
110 [06/sep/2001:12:11:19 -0300] "bet	Clean.sh
110 [06/sep/2001:12:11:19 -0300] "bet	compiler
110 [06/sep/2001:12:11:23 -0300] "bet	confdefs.h
110 [06/sep/2001:12:11:28 -0300] "bet	config.guess
110 [06/sep/2001:12:11:28 -0300] "bet	config.log
110 [06/sep/2001:12:11:30 -0300] "bet	config.status
110 [06/sep/2001:12:11:32 -0300] "bet	config.sub
110 [06/sep/2001:12:25:59 -0300] "bet	configure
110 [06/sep/2001:12:25:59 -0300] "bet	configure.ac
110 [06/sep/2001:12:26:05 -0300] "bet	COPYING
110 [06/sep/2001:12:26:05 -0300] "bet	cref
110 [06/sep/2001:12:26:27 -0300] "bet	edwin
110 [06/sep/2001:12:27:50 -0300] "bet	etc
110 [06/sep/2001:12:27:50 -0300] "bet	ffi
110 [06/sep/2001:12:27:54 -0300] "bet	gdbm
110 [06/sep/2001:12:27:54 -0300] "bet	imail
110 [06/sep/2001:12:27:57 -0300] "bet	lib
110 [06/sep/2001:12:28:19 -0300] "bet	libraries
110 [06/sep/2001:12:28:20 -0300] "bet	Makefile
110 [06/sep/2001:12:28:24 -0300] "bet	Makefile.in
110 [06/sep/2001:12:29:43 -0300] "bet	makefiles_created
114 [07/sep/2001:16:29:54 -0300] "bet	Makefile.tools
114 [09/sep/2001:15:44:32 -0300] "bet	Makefile.tools.in
114 [09/sep/2001:15:56:22 -0300] "bet	mcrypt
116 [10/sep/2001:18:47:07 -0300] "bet	microcode
116 [10/sep/2001:18:47:07 -0300] "bet	pgsql
116 [10/sep/2001:18:47:15 -0300] "bet	README.txt
116 [10/sep/2001:18:47:15 -0300] "bet	relnotes
116 [10/sep/2001:18:47:16 -0300] "bet	run-build
116 [10/sep/2001:18:47:17 -0300] "bet	runtime
116 [10/sep/2001:18:47:27 -0300] "bet	Setup.sh
118 [06/sep/2001:14:04:56 -0300] "bet	sf
118 [06/sep/2001:14:01:13 -0300] "bet	sos
118 [06/sep/2001:14:01:13 -0300] "bet	ssp
118 [06/sep/2001:14:01:17 -0300] "bet	Stage.sh
118 [06/sep/2001:14:01:28 -0300] "bet	stamp_cross-host
118 [06/sep/2001:14:04:56 -0300] "bet	star-parser
118 [06/sep/2001:14:05:53 -0300] "bet	Tags.sh
118 [06/sep/2001:14:05:53 -0300] "bet	tools
118 [06/sep/2001:14:06:41 -0300] "bet	win32
118 [08/sep/2001:11:02:50 -0300] "bet	x11
118 [08/sep/2001:11:02:50 -0300] "bet	x11-screen
103 [10/aug/2001:00:49:30 -0300] "bet	xdoc
103 [10/aug/2001:00:49:30 -0300] "bet	xml
103 [10/aug/2001:00:49:44 -0300] "bet	
103 [10/aug/2001:00:49:44 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/6001:
103 [10/aug/2001:00:49:49 -0300] "bet	6001.cbf
103 [10/aug/2001:00:49:52 -0300] "bet	6001.pkg
103 [10/aug/2001:00:52:20 -0300] "bet	6001.sf
103 [10/aug/2001:00:52:20 -0300] "bet	arith.scm
103 [10/aug/2001:00:53:10 -0300] "bet	Clean.sh
103 [10/aug/2001:00:53:10 -0300] "bet	edextra.scm
103 [10/aug/2001:00:53:14 -0300] "bet	floppy.scm
103 [10/aug/2001:00:53:14 -0300] "bet	Makefile
103 [10/aug/2001:00:53:17 -0300] "bet	Makefile-fragment
103 [10/aug/2001:00:53:19 -0300] "bet	Makefile.in
105 [08/aug/2001:21:05:46 -0300] "bet	make.scm
105 [08/aug/2001:21:05:46 -0300] "bet	nodefs.scm
105 [08/aug/2001:21:06:22 -0300] "bet	pic-imag.scm
105 [08/aug/2001:21:06:36 -0300] "bet	pic-ops.scm
105 [08/aug/2001:21:07:15 -0300] "bet	pic-read.scm
105 [08/aug/2001:21:07:15 -0300] "bet	pic-reco.scm
109 [10/sep/2001:19:48:34 -0300] "bet	picture.scm
109 [10/sep/2001:19:49:20 -0300] "bet	Setup.sh
109 [10/sep/2001:19:49:20 -0300] "bet	Stage.sh
109 [10/sep/2001:19:49:21 -0300] "bet	Tags.sh
109 [10/sep/2001:19:49:40 -0300] "bet	
109 [10/sep/2001:20:10:27 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/autom4te.cache:
109 [10/sep/2001:20:10:29 -0300] "bet	output.0
109 [10/sep/2001:20:10:34 -0300] "bet	requests
109 [10/sep/2001:20:18:18 -0300] "bet	traces.0
109 [10/sep/2001:20:18:24 -0300] "bet	
112 [09/sep/2001:23:39:46 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/berkeley-db:
112 [09/sep/2001:23:39:46 -0300] "bet	berkeley-db.scm
113 [07/sep/2001:14:55:17 -0300] "bet	configure.ac
113 [07/sep/2001:15:01:47 -0300] "bet	prdb4.c
113 [07/sep/2001:15:01:47 -0300] "bet	prdb4.scm
113 [07/sep/2001:15:02:01 -0300] "bet	README
113 [07/sep/2001:15:02:15 -0300] "bet	
113 [07/sep/2001:15:02:16 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/blowfish:
115 [05/sep/2001:13:42:16 -0300] "bet	aclocal.m4
115 [05/sep/2001:13:42:16 -0300] "bet	AUTHORS
115 [05/sep/2001:13:42:28 -0300] "bet	autogen.sh
115 [05/sep/2001:13:52:00 -0300] "bet	autom4te.cache
115 [05/sep/2001:13:53:35 -0300] "bet	blowfish-adapter.c
115 [05/sep/2001:13:53:39 -0300] "bet	blowfish.cdecl
115 [05/sep/2001:13:56:42 -0300] "bet	blowfish-check.scm
115 [05/sep/2001:14:25:29 -0300] "bet	blowfish-check.sh
115 [05/sep/2001:14:25:29 -0300] "bet	blowfish.pkg
115 [05/sep/2001:14:25:36 -0300] "bet	blowfish.scm
115 [05/sep/2001:14:25:36 -0300] "bet	blowfish-shim.h
115 [05/sep/2001:14:25:38 -0300] "bet	blowfish-test.scm
115 [05/sep/2001:14:25:39 -0300] "bet	ChangeLog
115 [05/sep/2001:14:41:30 -0300] "bet	compile
115 [05/sep/2001:15:58:27 -0300] "bet	compile.scm
116 [08/sep/2001:14:11:19 -0300] "bet	compile.sh
116 [08/sep/2001:14:11:19 -0300] "bet	config.guess
116 [08/sep/2001:14:11:24 -0300] "bet	config.h.in
116 [08/sep/2001:14:11:24 -0300] "bet	config.sub
116 [08/sep/2001:14:11:25 -0300] "bet	configure
116 [08/sep/2001:14:11:29 -0300] "bet	configure.ac
116 [08/sep/2001:14:11:41 -0300] "bet	COPYING
116 [08/sep/2001:14:11:41 -0300] "bet	depcomp
116 [08/sep/2001:14:11:43 -0300] "bet	INSTALL
116 [08/sep/2001:14:11:48 -0300] "bet	install-sh
116 [08/sep/2001:14:24:45 -0300] "bet	ltmain.sh
116 [08/sep/2001:14:24:47 -0300] "bet	m4
118 [06/sep/2001:11:21:19 -0300] "bet	Makefile.am
118 [06/sep/2001:11:21:19 -0300] "bet	Makefile.in
118 [06/sep/2001:11:25:11 -0300] "bet	make.scm
118 [06/sep/2001:11:29:04 -0300] "bet	mdate-sh
118 [06/sep/2001:11:29:04 -0300] "bet	missing
118 [06/sep/2001:11:29:14 -0300] "bet	mit-scheme-blowfish.texi
118 [06/sep/2001:11:29:33 -0300] "bet	NEWS
118 [06/sep/2001:11:29:33 -0300] "bet	optiondb.scm
118 [06/sep/2001:11:29:37 -0300] "bet	README
118 [06/sep/2001:11:29:40 -0300] "bet	tags-fix.sh
118 [06/sep/2001:11:29:41 -0300] "bet	test-driver
118 [06/sep/2001:11:29:44 -0300] "bet	texinfo.tex
118 [06/sep/2001:11:29:46 -0300] "bet	
118 [06/sep/2001:11:29:47 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/blowfish/autom4te.cache:
118 [06/sep/2001:11:30:04 -0300] "bet	output.0
118 [06/sep/2001:11:30:04 -0300] "bet	output.1
118 [06/sep/2001:11:30:06 -0300] "bet	output.2
118 [06/sep/2001:11:30:17 -0300] "bet	output.3
118 [06/sep/2001:11:30:17 -0300] "bet	requests
118 [06/sep/2001:11:30:39 -0300] "bet	traces.0
118 [06/sep/2001:11:30:39 -0300] "bet	traces.1
118 [06/sep/2001:11:31:33 -0300] "bet	traces.2
118 [06/sep/2001:11:31:42 -0300] "bet	traces.3
118 [06/sep/2001:11:32:42 -0300] "bet	
118 [06/sep/2001:11:34:43 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/blowfish/m4:
118 [06/sep/2001:11:34:43 -0300] "bet	libtool.m4
118 [06/sep/2001:11:34:46 -0300] "bet	lt~obsolete.m4
118 [06/sep/2001:12:08:05 -0300] "bet	ltoptions.m4
118 [06/sep/2001:12:08:05 -0300] "bet	ltsugar.m4
121 [07/sep/2001:14:37:52 -0300] "bet	ltversion.m4
121 [07/sep/2001:14:37:52 -0300] "bet	
